series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-06-06,13,87-88,0.415,0.3617603960396039,-0.053239603960396065,True,False,hourly_snapshot
KXHIGHNY,2026-06-06,14,91-92,0.08499999999999999,0.024610891089108824,-0.060389108910891165,False,False,hourly_snapshot
KXHIGHNY,2026-06-06,14,89-90,0.32,0.1418960396039601,-0.1781039603960399,False,False,hourly_snapshot
KXHIGHNY,2026-06-06,14,87-88,0.615,0.5768514851485153,-0.03814851485148474,True,False,hourly_snapshot
KXHIGHNY,2026-06-06,15,91-92,0.045,0.03342970297029696,-0.011570297029703039,False,False,hourly_snapshot
KXHIGHNY,2026-06-06,15,89-90,0.275,0.2622237623762387,-0.012776237623761344,False,False,hourly_snapshot
KXHIGHNY,2026-06-06,15,87-88,0.705,0.6900871287128719,-0.014912871287128038,True,False,hourly_snapshot
KXHIGHNY,2026-06-06,16,89-90,0.09,0.23851881188118873,0.14851881188118873,False,False,hourly_snapshot
KXHIGHNY,2026-06-06,16,87-88,0.885,0.7264158415841576,-0.1585841584158424,True,False,hourly_snapshot
KXHIGHNY,2026-06-06,17,89-90,0.04,0.22316237623762356,0.18316237623762355,False,False,hourly_snapshot
KXHIGHNY,2026-06-06,17,87-88,0.965,0.7459445544554459,-0.21905544554455403,True,False,hourly_snapshot
KXHIGHNY,2026-06-06,18,87-88,0.965,0.7499524752475254,-0.21504752475247457,True,False,hourly_snapshot
KXHIGHNY,2026-06-08,13,76-77,0.455,0.3617603960396039,-0.0932396039603961,False,False,hourly_snapshot
KXHIGHNY,2026-06-08,13,74-75,0.5700000000000001,0.49059405940594103,-0.07940594059405903,True,False,hourly_snapshot
KXHIGHNY,2026-06-08,14,76-77,0.045,0.21520000000000006,0.17020000000000007,False,False,metar_6h_group
KXHIGHNY,2026-06-08,14,74-75,0.925,0.7533,-0.17170000000000007,True,False,metar_6h_group
KXHIGHNY,2026-06-08,15,76-77,0.035,0.10760000000000003,0.07260000000000003,False,False,metar_6h_group
KXHIGHNY,2026-06-08,15,74-75,0.96,0.8845,-0.07550000000000001,True,False,metar_6h_group
